"","QUEST","med","d","mag","conf.inf","conf.sup"
"1","Q101",4.36046511627907,-0.326541504917895,"small",-0.631376711577071,-0.0217062982587201
"2","Q102",4.01744186046512,-0.347565755214747,"small",-0.65267040354748,-0.0424611068820129
"3","Q103",2.47674418604651,0.220586306070346,"small",-0.0831442987344667,0.524316910875158
"4","Q104",3.82558139534884,-0.239187299669786,"small",-0.543081114644445,0.0647065153048733
"5","Q105",4.09883720930233,-0.725003843943728,"medium",-1.0377068576681,-0.412300830219353
"6","Q106",3.78488372093023,-1.28676411234429,"large",-1.61976260766858,-0.953765617019992
"7","Q107",1.93023255813953,0.547869536699659,"medium",0.239375345872406,0.856363727526911
"8","Q108",4.34302325581395,-0.374883885038125,"small",-0.680363346937743,-0.0694044231385065
"9","Q109",3.80232558139535,-0.819408311622865,"large",-1.134803050891,-0.504013572354725
"10","Q110",4.26744186046512,-0.917323528216468,"large",-1.23582901173877,-0.598818044694162
"11","Q111",4.90116279069767,-0.109454409660924,"negligible",-0.412484057462785,0.193575238140937
"12","Q112",1.52325581395349,0.297531001530296,"small",-0.00695966250735197,0.602021665567944
"13","Q113",4.08720930232558,-0.144296469090607,"negligible",-0.447495230029076,0.158902291847861
"14","Q114",3.92441860465116,-0.693834512614225,"medium",-1.00571647345541,-0.381952551773043
"15","Q115",4.13372093023256,-0.222356858804263,"small",-0.52610243388738,0.0813887162788546
"16","Q116",2.72674418604651,0.0427782632377078,"negligible",-0.260057115012512,0.345613641487928
"17","Q117",3.9593023255814,-0.0512744450561328,"negligible",-0.354125121839275,0.251576231727009
"18","Q118",4.51744186046512,-0.0444088112897219,"negligible",-0.347246911297311,0.258429288717867
"19","Q119",4.23837209302326,0.058645131847393,"negligible",-0.244221055071414,0.3615113187662
"20","Q120",3.76162790697674,-0.232907432241857,"small",-0.536744679264977,0.0709298147812633
"21","Q121",2.45348837209302,0.340525853449531,"small",0.0355132716579501,0.645538435241113
"22","Q122",4.58720930232558,-0.379572440338767,"small",-0.685119032088105,-0.0740258485894297
"23","Q123",4.32558139534884,-0.605032014158558,"medium",-0.91476232122735,-0.295301707089766
"24","Q124",3.59883720930233,0.00804303350718659,"negligible",-0.294758545590931,0.310844612605305
"25","Q125",1.73837209302326,0.284522619952119,"small",-0.0198238367353591,0.588869076639598
"26","Q126",4.46511627906977,-0.221709884381409,"small",-0.525449975412289,0.08203020664947
"27","Q127",1.95348837209302,0.481701998118544,"small",0.174490819597303,0.788913176639785
"28","Q128",1.56395348837209,0.219515893365967,"small",-0.0842057186389576,0.523237505370892
"29","Q129",2.97093023255814,0.860360367591004,"large",0.543703582966388,1.17701715221562
"30","Q130",4.76744186046512,-0.241012936275298,"small",-0.544923476597589,0.062897604046992
